Patent ID;SiO2;Al2O3;B2O3;MgO;CaO;SrO;SnO2;Na2O;K2O;BaO;ZnO;TiO2;Sb2O3;SO3;Fe2O3;V2O5;AS2O3;Cl;F;Li2O;ZrO2;Cr2O3;P2O5;CeO2;La2O3;Y2O3;Density;CTE;Strain Point;Young's Modulus;Melting. Temp;Liquidus Temp.;Tg;Liquidus Viscosity
US8642491B2;68.8;10.55;9.94;2.01;8.13;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.378;31.3;677;10.6;1629;1165;;158000
US8642491B2;68.64;10.6;9.99;2.02;8.18;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.378;31.5;670;10.6;1641;1150;;235000
US8642491B2;68.95;10.49;9.9;1;9.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;32;691;;1649;1165;;214000
US8642491B2;68.95;10.49;9.9;2;8.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.381;30.5;688;;1645;1140;;370000
US8642491B2;68.98;10.45;9.9;1;9.1;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1640;1145;;262000
US8642491B2;68.98;10.45;9.9;2;8.1;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1150;;
US8642491B2;69.41;10.19;9.96;1.87;7.98;0.52;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.365;30.7;664;;1641;1145;;263000
US8642491B2;68.91;10.4;9.94;1.98;7.45;1.25;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.39;31.8;665;;1631;1120;;371000
US8642491B2;68.44;10.6;9.99;1.21;9.19;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;32.9;680;10.5;1628;1135;;294000
US8642491B2;68.59;10.55;9.94;1.21;9.14;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.383;32;674;10.6;1632;1140;;279000
US8642491B2;68.75;10.49;9.9;1.2;9.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.386;31.1;689;;1646;1150;;273000
US8642491B2;69.25;10.21;9.96;2.04;7.96;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.366;31.4;664;;1640;1150;;225000
US8642491B2;68.84;10.42;9.94;1.98;7.42;1.33;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.391;32.3;664;;1622;1105;;530000
US8642491B2;68.18;10.69;10.04;1.49;8.85;0.69;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.379;32.5;663;;1621;1125;;305000
US8642491B2;69.16;10.28;9.88;1.8;8.3;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.368;31.1;665;;1632;1125;;376000
US8642491B2;67.59;11.06;9.84;2.25;8.65;0.54;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;31.5;665;;1612;1140;;195000
US8642491B2;67.65;11.06;9.74;2.26;8.67;0.55;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;31.6;665;;1606;1135;;224000
US8642491B2;69.32;10.17;9.86;2.33;7.74;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.365;30.4;666;;1635;1150;;217000
US8642491B2;69.06;10.23;9.97;1.87;8.31;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.369;31.2;665;;1637;1130;;360000
US8642491B2;68.64;10.46;9.9;1.82;8.62;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.374;31.5;664;;1624;1115;;408000
US8642491B2;68.01;10.66;10.11;1.84;8.71;0.6;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.378;32.3;667;;1616;1130;;275000
US8642491B2;68.46;10.49;9.99;1.84;8.66;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.375;31.5;666;;1619;1120;;363000
US8642491B2;69.28;10.18;9.79;1.85;8.34;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.369;31.1;666;;1644;1145;;233000
US8642491B2;69.08;10.23;9.88;1.88;8.37;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.371;31.2;665;;1621;1135;;243000
US8642491B2;68.88;10.37;9.79;1.96;8.45;0.48;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.375;31.8;668;;1630;1120;;408000
US8642491B2;69.11;10.17;9.96;2.22;7.96;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.367;31.1;664;;1634;1115;;481000
US8642491B2;68.52;10.43;10.01;1.21;9.25;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.371;32.2;665;;1627;1115;;448000
US8642491B2;67.8;10.83;9.9;2.18;8.74;0.48;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;32.1;667;;1612;1120;;330000
US8642491B2;68.29;10.55;9.95;2.51;8.13;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.38;31.8;671;10.7;1633;1150;;219000
US8642491B2;68.45;10.49;9.9;2.5;8.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.379;30.8;669;10.6;1632;1165;;148000
US8642491B2;69.75;10.7;8.16;1.28;9.58;0.46;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.405;32.9;684;;;1155;;
US8642491B2;67.45;10.88;10.02;2.04;9;0.54;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;32.7;661;;1610;1135;;200000
US8642491B2;68.09;10.55;9.94;1.71;9.14;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.388;31.4;673;10.6;1619;1155;;156000
US8642491B2;68.25;10.49;9.9;1.7;9.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.386;32.6;674;10.6;1622;1150;;177000
US8642491B2;68.51;10.3;10.03;1.65;8.93;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.373;32.6;664;;1640;1130;;311000
US8642491B2;68.11;10.44;9.85;2.98;8.05;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.382;31;668;10.7;1626;1170;;122000
US8642491B2;67.95;10.49;9.9;3;8.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;30.7;671;10.7;1616;1155;;155000
US8642491B2;68.73;10.1;9.9;1;9.7;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1637;1150;;201000
US8642491B2;68.73;10.1;9.9;2;8.7;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1631;1150;;177000
US8642491B2;68.65;10.09;9.9;1.1;9.69;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.39;33.3;685;;1644;1145;;269000
US8642491B2;67.75;10.49;9.9;2.2;9.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.39;33.3;670;10.7;1611;1145;;173000
US8642491B2;67.91;10.44;9.84;2.19;9.05;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.393;33.1;668;10.7;1615;1140;;204000
US8642491B2;68.53;10.04;10.04;1.94;8.9;0.48;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.373;32.6;661;;1620;1115;;362000
US8642491B2;68.79;10.41;9.92;1.97;7.81;1.03;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;31.9;666;;1622;1210;;52000
US8642491B2;68.09;10.86;9.8;2.88;7.77;0.53;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.38;30.4;669;;1615;1200;;59000
US8642491B2;69.25;10.79;9.9;2;7.49;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1645;1220;;58000
US8642491B2;69.25;10.79;9.9;1;8.49;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.364;29.6;;;1688;1200;;137000
US8642491B2;69.25;10.79;9.9;0;9.49;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;31.3;;;1671;1160;;294000
US8642491B2;68.98;10.45;9.9;0;10.1;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.394;33.4;;;1674;1160;;246000
US8642491B2;68.73;10.1;9.9;0;10.7;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.375;33.3;;;1650;1160;;173000
US8642491B2;68.45;10.19;9.9;0.3;10.59;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.397;35.6;686;;1637;1170;;143000
US8642491B2;68.45;10.09;9.9;0.3;10.69;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.395;34.7;685;;1638;1160;;172000
 US20090133441A1;68.8;10.55;9.94;2.01;8.13;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.378;31.3;677;10.6;1629;1165;;158000
 US20090133441A1;68.64;10.6;9.99;2.02;8.18;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.378;31.5;670;10.6;1641;1150;;235000
 US20090133441A1;68.95;10.49;9.9;1;9.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;32;691;;1649;1165;;214000
 US20090133441A1;68.95;10.49;9.9;2;8.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.381;30.5;688;;1645;1140;;370000
 US20090133441A1;68.98;10.45;9.9;1;9.1;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1640;1145;;262000
 US20090133441A1;68.98;10.45;9.9;2;8.1;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1150;;
 US20090133441A1;69.41;10.19;9.96;1.87;7.98;9.52;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.365;30.7;664;;1641;1145;;263000
 US20090133441A1;68.91;10.4;9.94;1.98;7.45;1.25;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.39;31.8;665;;1631;1120;;371000
 US20090133441A1;68.44;10.6;9.99;1.21;9.19;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;32.9;680;10.5;1628;1135;;294000
 US20090133441A1;68.59;10.55;9.94;1.21;9.14;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.383;32;674;10.6;1632;1140;;279000
 US20090133441A1;68.75;10.49;9.9;1.2;9.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.386;31.1;689;;1646;1150;;273000
 US20090133441A1;69.25;10.21;9.96;2.04;7.96;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.366;31.4;664;;1640;1150;;225000
 US20090133441A1;68.84;10.42;9.94;1.98;7.42;1.33;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.391;32.3;664;;1622;1105;;530000
 US20090133441A1;68.18;10.69;10.04;1.49;8.84;0.69;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.379;32.5;663;;1621;1125;;305000
 US20090133441A1;69.16;10.28;9.88;1.8;8.3;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.368;31.1;665;;1632;1125;;376000
 US20090133441A1;67.59;11.06;9.84;2.25;8.65;0.54;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;31.5;665;;1612;1140;;195000
 US20090133441A1;67.65;11.06;9.74;2.26;8.67;0.55;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;31.6;665;;1606;1135;;224000
 US20090133441A1;69.32;10.17;9.86;2.33;7.74;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.365;30.4;666;;1635;1150;;217000
 US20090133441A1;69.06;10.23;9.97;1.87;8.31;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.369;31.2;665;;1637;1130;;360000
 US20090133441A1;68.64;10.46;9.9;1.82;8.62;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.374;31.5;664;;1624;1115;;408000
 US20090133441A1;68.01;10.66;10.11;1.84;8.71;0.6;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.378;32.3;667;;1616;1130;;275000
 US20090133441A1;68.46;10.49;9.99;1.84;8.66;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.375;31.5;666;;1619;1120;;363000
 US20090133441A1;69.28;10.18;9.79;1.85;8.34;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.369;31.1;666;;1644;1145;;233000
 US20090133441A1;69.08;10.23;9.88;1.88;8.37;0.49;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.371;31.2;665;;1621;1135;;243000
 US20090133441A1;68.88;10.37;9.79;1.96;8.45;0.48;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.375;31.8;668;;1630;1120;;408000
 US20090133441A1;69.11;10.17;9.96;2.22;7.96;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.367;31.1;664;;1634;1115;;481000
 US20090133441A1;68.52;10.43;10.01;1.21;9.25;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.371;32.2;665;;1627;1115;;448000
 US20090133441A1;67.8;10.83;9.9;2.18;8.74;0.48;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;32.1;667;;1612;1120;;330000
 US20090133441A1;68.29;10.55;9.95;2.51;8.13;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.38;31.8;671;10.7;1633;1150;;219000
 US20090133441A1;68.45;10.49;9.9;2.5;8.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.379;30.8;669;10.6;1632;1165;;148000
 US20090133441A1;69.75;10.7;8.16;1.28;9.58;0.46;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.405;32.9;684;;;1155;;
 US20090133441A1;67.45;10.88;10.02;2.04;9;0.54;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.384;32.7;661;;1610;1135;;200000
 US20090133441A1;68.09;10.55;9.94;1.71;9.14;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.388;31.4;673;10.6;1619;1155;;156000
 US20090133441A1;68.25;10.49;9.9;1.7;9.09;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.386;32.6;674;10.6;1622;1150;;177000
 US20090133441A1;68.51;10.3;10.03;1.65;8.93;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.373;32.6;664;;1640;1130;;311000
 US20090133441A1;68.11;10.44;9.85;2.98;8.05;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.382;31;668;10.7;1626;1170;;122000
